ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
88.62,82.91,94.84,0.936,0.8364444444444444,-1,clinc,lrap,0.5,0.1,1.0,0
87.2,82.69,94.99,0.9253333333333332,0.8186666666666667,0,clinc,lrap,0.5,0.1,1.0,0
87.87,82.45,94.87,0.9262222222222222,0.8311111111111111,1,clinc,lrap,0.5,0.1,1.0,0
88.13,82.63,94.91,0.9564444444444444,0.8062222222222222,2,clinc,lrap,0.5,0.1,1.0,0
87.16,81.71,94.56,0.9413333333333334,0.8017777777777778,3,clinc,lrap,0.5,0.1,1.0,0
88.49,82.7,94.81,0.944,0.8257777777777778,4,clinc,lrap,0.5,0.1,1.0,0
87.29,81.72,94.58,0.944,0.8017777777777778,5,clinc,lrap,0.5,0.1,1.0,0
88.27,82.81,94.84,0.944,0.8213333333333334,6,clinc,lrap,0.5,0.1,1.0,0
87.16,82.54,95.02,0.9582222222222222,0.7848888888888889,7,clinc,lrap,0.5,0.1,1.0,0
88.04,82.33,94.62,0.9466666666666668,0.8142222222222222,8,clinc,lrap,0.5,0.1,1.0,0
87.29,82.04,94.8,0.9448888888888888,0.8008888888888889,9,clinc,lrap,0.5,0.1,1.0,0
88.76,82.77,94.97,0.9386666666666666,0.8364444444444444,10,clinc,lrap,0.5,0.1,1.0,0
87.56,82.27,94.82,0.9422222222222222,0.8088888888888889,11,clinc,lrap,0.5,0.1,1.0,0
87.42,81.17,94.44,0.9235555555555556,0.8248888888888889,12,clinc,lrap,0.5,0.1,1.0,0
85.2,79.79,94.27,0.9155555555555556,0.7884444444444444,13,clinc,lrap,0.5,0.1,1.0,0
86.4,81.34,94.6,0.92,0.808,14,clinc,lrap,0.5,0.1,1.0,0
88.67,83.24,95.08,0.9484444444444444,0.8248888888888889,15,clinc,lrap,0.5,0.1,1.0,0
87.33,82.12,94.85,0.9555555555555556,0.7911111111111111,16,clinc,lrap,0.5,0.1,1.0,0
87.11,81.01,94.73,0.9306666666666666,0.8115555555555556,17,clinc,lrap,0.5,0.1,1.0,0
86.22,80.86,94.71,0.9128888888888887,0.8115555555555556,18,clinc,lrap,0.5,0.1,1.0,0
88.84,82.62,94.86,0.9413333333333334,0.8355555555555556,19,clinc,lrap,0.5,0.1,1.0,0
88.04,82.42,94.9,0.9253333333333332,0.8355555555555556,20,clinc,lrap,0.5,0.1,1.0,0
88.53,83.04,95.07,0.9582222222222222,0.8124444444444444,21,clinc,lrap,0.5,0.1,1.0,0
87.96,81.89,94.73,0.9351111111111112,0.824,22,clinc,lrap,0.5,0.1,1.0,0
88.4,83.02,95.14,0.9555555555555556,0.8124444444444444,23,clinc,lrap,0.5,0.1,1.0,0
88.13,82.11,94.78,0.9422222222222222,0.8204444444444444,24,clinc,lrap,0.5,0.1,1.0,0
