epoch,timestamp,labeled_num,convergence_iterations,llm_total,llm_tot_correct,llm_tot_acc,llm_central_acc,llm_negatives_acc,prop_total,prop_correct,prop_acc,hard_count,hard_prob_total,hard_prob_correct,hard_prob_acc,central_count,central_prob_total,central_prob_correct,central_prob_acc
0,2025-06-15 13:56:25,456,53,151,106,0.7019867549668874,0.7699115044247787,0.5,1468,1393,0.9489100817438693,38,53,27,0.5094339622641509,113,1415,1366,0.9653710247349824
4,2025-06-15 14:31:46,2075,58,151,94,0.6225165562913907,0.6106194690265486,0.6578947368421053,1308,1247,0.9533639143730887,38,48,35,0.7291666666666666,113,1260,1212,0.9619047619047619
9,2025-06-15 15:10:14,3534,60,151,108,0.7152317880794702,0.7345132743362832,0.6578947368421053,1266,1214,0.9589257503949447,38,64,57,0.890625,113,1202,1157,0.9625623960066556
14,2025-06-15 16:48:07,4951,60,151,104,0.6887417218543046,0.6371681415929203,0.8421052631578947,1133,1108,0.9779346866725508,38,53,44,0.8301886792452831,113,1080,1064,0.9851851851851852
19,2025-06-15 17:21:20,6235,61,151,106,0.7019867549668874,0.6902654867256637,0.7368421052631579,1012,943,0.9318181818181818,38,96,80,0.8333333333333334,113,916,863,0.9421397379912664
24,2025-06-15 18:01:35,7398,61,151,122,0.8079470198675497,0.8141592920353983,0.7894736842105263,1135,1094,0.9638766519823788,38,61,55,0.9016393442622951,113,1074,1039,0.9674115456238361
29,2025-06-16 11:48:33,8684,62,151,100,0.6622516556291391,0.6548672566371682,0.6842105263157895,910,879,0.9659340659340659,38,77,63,0.8181818181818182,113,833,816,0.9795918367346939
34,2025-06-16 11:57:57,9745,61,151,114,0.7549668874172185,0.7876106194690266,0.6578947368421053,1004,973,0.9691235059760956,38,53,44,0.8301886792452831,113,951,929,0.9768664563617245
39,2025-06-16 12:03:40,10900,69,151,111,0.7350993377483444,0.7787610619469026,0.6052631578947368,922,886,0.9609544468546638,38,59,57,0.9661016949152542,113,863,829,0.9606025492468134
44,2025-06-16 12:09:41,11972,62,151,115,0.7615894039735099,0.8141592920353983,0.6052631578947368,937,904,0.9647812166488794,38,85,78,0.9176470588235294,113,852,826,0.9694835680751174
49,2025-06-16 12:15:57,13059,67,151,118,0.7814569536423841,0.8230088495575221,0.6578947368421053,605,567,0.9371900826446281,38,47,26,0.5531914893617021,113,558,541,0.9695340501792115
54,2025-06-16 12:22:42,13815,63,151,128,0.847682119205298,0.8938053097345132,0.7105263157894737,622,603,0.9694533762057878,38,60,51,0.85,113,562,552,0.9822064056939501
59,2025-06-16 12:31:50,14588,69,151,116,0.7682119205298014,0.8053097345132744,0.6578947368421053,510,484,0.9490196078431372,38,51,39,0.7647058823529411,113,459,445,0.9694989106753813
64,2025-06-16 12:43:52,15248,69,151,117,0.7748344370860927,0.7876106194690266,0.7368421052631579,336,332,0.9880952380952381,38,24,24,1.0,113,312,308,0.9871794871794872
69,2025-06-16 12:53:50,15734,69,151,113,0.7483443708609272,0.831858407079646,0.5,292,282,0.9657534246575342,38,31,31,1.0,113,261,251,0.9616858237547893
74,2025-06-16 13:04:41,16177,71,151,128,0.847682119205298,0.9026548672566371,0.6842105263157895,290,283,0.9758620689655172,38,13,12,0.9230769230769231,113,277,271,0.9783393501805054
79,2025-06-16 13:12:59,16616,71,151,122,0.8079470198675497,0.831858407079646,0.7368421052631579,266,260,0.9774436090225563,38,51,50,0.9803921568627451,113,215,210,0.9767441860465116
84,2025-06-16 13:22:43,17030,75,151,123,0.8145695364238411,0.8407079646017699,0.7368421052631579,130,128,0.9846153846153847,38,36,35,0.9722222222222222,113,94,93,0.9893617021276596
89,2025-06-16 13:30:51,17310,60,151,113,0.7483443708609272,0.7610619469026548,0.7105263157894737,103,100,0.970873786407767,38,33,31,0.9393939393939394,113,70,69,0.9857142857142858
94,2025-06-16 13:43:13,17556,60,151,123,0.8145695364238411,0.8141592920353983,0.8157894736842105,49,48,0.9795918367346939,38,18,17,0.9444444444444444,113,31,31,1.0
99,2025-06-16 13:51:11,17741,58,151,114,0.7549668874172185,0.7699115044247787,0.7105263157894737,24,24,1.0,38,21,21,1.0,113,3,3,1.0
104,2025-06-16 14:01:38,17899,58,139,108,0.7769784172661871,0.7722772277227723,0.7894736842105263,0,0,0.0,38,0,0,0.0,101,0,0,0.0
109,2025-06-16 14:09:03,18000,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
114,2025-06-16 14:16:13,18000,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
119,2025-06-16 14:23:33,18000,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
124,2025-06-16 14:30:48,18000,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
129,2025-06-16 14:38:12,18000,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
134,2025-06-16 14:45:38,18000,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
139,2025-06-16 14:52:59,18000,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
144,2025-06-16 15:00:17,18000,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
149,2025-06-16 15:07:31,18000,58,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
