ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
94.67,90.79,97.09,0.9666666666666668,0.9398809523809524,57,clinc,lrap,0.25,0.1,1.0,0
94.49,90.38,96.95,0.9666666666666668,0.9375,58,clinc,lrap,0.25,0.1,1.0,0
93.91,89.59,96.71,0.9614035087719298,0.9315476190476192,59,clinc,lrap,0.25,0.1,1.0,0
93.56,89.4,96.69,0.9543859649122808,0.9291666666666668,60,clinc,lrap,0.25,0.1,1.0,0
95.11,90.4,96.75,0.963157894736842,0.9470238095238096,61,clinc,lrap,0.25,0.1,1.0,0
94.98,90.92,97.06,0.9649122807017544,0.9446428571428572,62,clinc,lrap,0.25,0.1,1.0,0
94.67,90.25,96.81,0.9649122807017544,0.9404761904761904,63,clinc,lrap,0.25,0.1,1.0,0
93.42,88.93,96.56,0.9614035087719298,0.925,64,clinc,lrap,0.25,0.1,1.0,0
94.84,90.41,96.82,0.9614035087719298,0.944047619047619,65,clinc,lrap,0.25,0.1,1.0,0
94.22,89.86,96.82,0.9666666666666668,0.9339285714285714,66,clinc,lrap,0.25,0.1,1.0,0
94.4,90.25,96.98,0.9666666666666668,0.9363095238095238,67,clinc,lrap,0.25,0.1,1.0,0
94.4,90.41,96.99,0.963157894736842,0.9375,68,clinc,lrap,0.25,0.1,1.0,0
94.0,89.6,96.72,0.9666666666666668,0.930952380952381,69,clinc,lrap,0.25,0.1,1.0,0
94.36,90.27,96.94,0.9649122807017544,0.9363095238095238,70,clinc,lrap,0.25,0.1,1.0,0
95.16,91.23,97.14,0.963157894736842,0.9476190476190476,71,clinc,lrap,0.25,0.1,1.0,0
94.04,90.16,96.9,0.9649122807017544,0.9321428571428572,72,clinc,lrap,0.25,0.1,1.0,0
95.33,90.82,96.99,0.9649122807017544,0.949404761904762,73,clinc,lrap,0.25,0.1,1.0,0
95.07,90.76,96.98,0.9666666666666668,0.9452380952380952,74,clinc,lrap,0.25,0.1,1.0,0
94.04,89.88,96.76,0.9649122807017544,0.9321428571428572,75,clinc,lrap,0.25,0.1,1.0,0
95.2,90.96,97.08,0.963157894736842,0.9482142857142856,76,clinc,lrap,0.25,0.1,1.0,0
94.04,90.01,96.92,0.936842105263158,0.9416666666666668,77,clinc,lrap,0.25,0.1,1.0,0
94.4,90.1,96.83,0.9596491228070176,0.9386904761904762,78,clinc,lrap,0.25,0.1,1.0,0
93.73,89.72,96.87,0.9701754385964912,0.9261904761904762,79,clinc,lrap,0.25,0.1,1.0,0
93.87,89.97,96.86,0.9421052631578948,0.9375,80,clinc,lrap,0.25,0.1,1.0,0
94.04,89.68,96.78,0.9350877192982456,0.9422619047619047,81,clinc,lrap,0.25,0.1,1.0,0
94.67,90.2,96.82,0.9649122807017544,0.9404761904761904,82,clinc,lrap,0.25,0.1,1.0,0
94.09,89.95,96.91,0.9701754385964912,0.930952380952381,83,clinc,lrap,0.25,0.1,1.0,0
94.89,90.36,96.79,0.963157894736842,0.944047619047619,84,clinc,lrap,0.25,0.1,1.0,0
94.98,90.74,96.99,0.963157894736842,0.9452380952380952,85,clinc,lrap,0.25,0.1,1.0,0
93.96,90.01,96.83,0.968421052631579,0.9297619047619048,86,clinc,lrap,0.25,0.1,1.0,0
93.96,89.35,96.62,0.9578947368421052,0.9333333333333332,87,clinc,lrap,0.25,0.1,1.0,0
94.09,89.68,96.69,0.963157894736842,0.9333333333333332,88,clinc,lrap,0.25,0.1,1.0,0
94.58,90.11,96.75,0.9649122807017544,0.9392857142857144,89,clinc,lrap,0.25,0.1,1.0,0
94.98,90.48,96.86,0.963157894736842,0.9452380952380952,90,clinc,lrap,0.25,0.1,1.0,0
94.49,90.29,96.88,0.9385964912280702,0.9470238095238096,91,clinc,lrap,0.25,0.1,1.0,0
93.96,89.65,96.72,0.963157894736842,0.9315476190476192,92,clinc,lrap,0.25,0.1,1.0,0
93.56,89.0,96.51,0.9649122807017544,0.925595238095238,93,clinc,lrap,0.25,0.1,1.0,0
94.67,89.99,96.71,0.9614035087719298,0.9416666666666668,94,clinc,lrap,0.25,0.1,1.0,0
94.0,89.21,96.49,0.936842105263158,0.9410714285714286,95,clinc,lrap,0.25,0.1,1.0,0
