ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
84.8,71.26,79.13,0.864,0.8426666666666667,61,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.54,79.2,0.864,0.8466666666666667,62,stackoverflow,ligd,0.25,0.1,1.0,0
86.3,73.7,81.18,0.872,0.848,63,stackoverflow,ligd,0.25,0.1,1.0,0
84.6,70.71,78.63,0.864,0.84,64,stackoverflow,ligd,0.25,0.1,1.0,0
85.2,71.65,79.32,0.864,0.848,65,stackoverflow,ligd,0.25,0.1,1.0,0
84.6,70.79,78.73,0.86,0.8413333333333334,66,stackoverflow,ligd,0.25,0.1,1.0,0
84.9,71.08,79.03,0.868,0.8426666666666667,67,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.46,79.26,0.864,0.8466666666666667,68,stackoverflow,ligd,0.25,0.1,1.0,0
85.3,72.0,79.55,0.864,0.8493333333333334,69,stackoverflow,ligd,0.25,0.1,1.0,0
85.2,71.71,79.64,0.856,0.8506666666666667,70,stackoverflow,ligd,0.25,0.1,1.0,0
85.0,71.5,79.45,0.856,0.848,71,stackoverflow,ligd,0.25,0.1,1.0,0
85.8,72.84,80.14,0.868,0.8546666666666667,72,stackoverflow,ligd,0.25,0.1,1.0,0
85.1,71.53,79.18,0.856,0.8493333333333334,73,stackoverflow,ligd,0.25,0.1,1.0,0
85.4,72.09,79.6,0.86,0.852,74,stackoverflow,ligd,0.25,0.1,1.0,0
85.0,71.42,79.09,0.864,0.8453333333333334,75,stackoverflow,ligd,0.25,0.1,1.0,0
86.0,73.04,80.24,0.872,0.856,76,stackoverflow,ligd,0.25,0.1,1.0,0
85.6,72.52,79.94,0.872,0.8506666666666667,77,stackoverflow,ligd,0.25,0.1,1.0,0
85.8,72.69,80.39,0.872,0.8533333333333334,78,stackoverflow,ligd,0.25,0.1,1.0,0
