ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
72.66,61.53,83.75,0.8039473684210526,0.6512820512820513,-1,banking,lrap,0.5,0.1,1.0,0
72.21,61.22,83.88,0.7881578947368421,0.6576923076923077,0,banking,lrap,0.5,0.1,1.0,0
72.34,61.36,83.66,0.7894736842105263,0.658974358974359,1,banking,lrap,0.5,0.1,1.0,0
72.86,61.61,83.77,0.7875,0.6711538461538461,2,banking,lrap,0.5,0.1,1.0,0
72.66,61.45,83.72,0.8026315789473685,0.6525641025641026,3,banking,lrap,0.5,0.1,1.0,0
72.79,61.84,83.91,0.825,0.6333333333333333,4,banking,lrap,0.5,0.1,1.0,0
71.3,60.8,83.62,0.7776315789473685,0.65,5,banking,lrap,0.5,0.1,1.0,0
73.15,61.32,83.85,0.8065789473684211,0.6583333333333333,6,banking,lrap,0.5,0.1,1.0,0
73.08,61.75,83.91,0.819078947368421,0.6448717948717949,7,banking,lrap,0.5,0.1,1.0,0
73.31,61.64,83.62,0.825,0.6435897435897436,8,banking,lrap,0.5,0.1,1.0,0
71.2,61.22,83.67,0.780921052631579,0.6448717948717949,9,banking,lrap,0.5,0.1,1.0,0
71.82,60.67,83.43,0.7881578947368421,0.65,10,banking,lrap,0.5,0.1,1.0,0
73.83,62.56,84.34,0.8342105263157895,0.6448717948717949,11,banking,lrap,0.5,0.1,1.0,0
74.71,63.35,84.66,0.8243421052631579,0.6717948717948717,12,banking,lrap,0.5,0.1,1.0,0
73.02,62.73,84.45,0.8217105263157894,0.6410256410256411,13,banking,lrap,0.5,0.1,1.0,0
74.16,63.19,84.81,0.8335526315789473,0.6519230769230769,14,banking,lrap,0.5,0.1,1.0,0
71.49,61.86,84.54,0.7934210526315789,0.6384615384615384,15,banking,lrap,0.5,0.1,1.0,0
72.63,62.21,84.41,0.825,0.6301282051282051,16,banking,lrap,0.5,0.1,1.0,0
72.56,62.95,84.6,0.8407894736842105,0.6134615384615385,17,banking,lrap,0.5,0.1,1.0,0
74.16,64.36,85.5,0.8197368421052632,0.6653846153846154,18,banking,lrap,0.5,0.1,1.0,0
73.18,63.2,84.98,0.8052631578947368,0.6602564102564102,19,banking,lrap,0.5,0.1,1.0,0
76.04,65.51,85.49,0.844078947368421,0.6788461538461539,20,banking,lrap,0.5,0.1,1.0,0
75.36,65.07,85.49,0.8486842105263158,0.6608974358974359,21,banking,lrap,0.5,0.1,1.0,0
75.36,65.06,85.49,0.8539473684210527,0.6557692307692308,22,banking,lrap,0.5,0.1,1.0,0
75.42,65.43,85.73,0.8453947368421053,0.6653846153846154,23,banking,lrap,0.5,0.1,1.0,0
73.54,63.4,84.95,0.8302631578947368,0.642948717948718,24,banking,lrap,0.5,0.1,1.0,0
74.71,64.86,85.48,0.8427631578947369,0.6538461538461539,25,banking,lrap,0.5,0.1,1.0,0
76.4,66.14,86.02,0.8506578947368421,0.6794871794871795,26,banking,lrap,0.5,0.1,1.0,0
76.14,65.69,85.53,0.8401315789473685,0.6846153846153846,27,banking,lrap,0.5,0.1,1.0,0
77.4,66.32,85.6,0.8460526315789474,0.7038461538461539,28,banking,lrap,0.5,0.1,1.0,0
73.9,64.19,85.17,0.8322368421052632,0.6480769230769231,29,banking,lrap,0.5,0.1,1.0,0
75.32,65.27,85.69,0.844078947368421,0.6647435897435897,30,banking,lrap,0.5,0.1,1.0,0
76.82,66.52,85.7,0.8368421052631579,0.7012820512820512,31,banking,lrap,0.5,0.1,1.0,0
76.88,66.45,85.56,0.8519736842105263,0.6878205128205128,32,banking,lrap,0.5,0.1,1.0,0
76.23,65.94,85.59,0.8361842105263158,0.6903846153846154,33,banking,lrap,0.5,0.1,1.0,0
76.95,66.34,86.08,0.8453947368421053,0.6955128205128205,34,banking,lrap,0.5,0.1,1.0,0
78.25,67.72,86.22,0.8421052631578947,0.7243589743589743,35,banking,lrap,0.5,0.1,1.0,0
77.05,66.33,85.74,0.8427631578947369,0.7,36,banking,lrap,0.5,0.1,1.0,0
78.86,68.05,86.44,0.8473684210526315,0.7314102564102564,37,banking,lrap,0.5,0.1,1.0,0
78.83,68.13,86.31,0.8414473684210526,0.7365384615384616,38,banking,lrap,0.5,0.1,1.0,0
78.44,67.95,86.33,0.8421052631578947,0.7282051282051282,39,banking,lrap,0.5,0.1,1.0,0
78.21,67.54,86.08,0.8375,0.7282051282051282,40,banking,lrap,0.5,0.1,1.0,0
78.96,68.73,86.43,0.8460526315789474,0.7346153846153847,41,banking,lrap,0.5,0.1,1.0,0
78.47,67.84,86.43,0.8335526315789473,0.7371794871794872,42,banking,lrap,0.5,0.1,1.0,0
78.67,68.52,86.44,0.8328947368421052,0.7416666666666667,43,banking,lrap,0.5,0.1,1.0,0
79.45,69.2,86.87,0.8335526315789473,0.7564102564102564,44,banking,lrap,0.5,0.1,1.0,0
79.94,70.57,87.4,0.8789473684210526,0.7217948717948718,45,banking,lrap,0.5,0.1,1.0,0
80.97,71.07,87.45,0.8769736842105263,0.7442307692307693,46,banking,lrap,0.5,0.1,1.0,0
80.81,70.64,87.4,0.8776315789473684,0.7403846153846154,47,banking,lrap,0.5,0.1,1.0,0
80.52,70.71,87.38,0.8796052631578948,0.7326923076923076,48,banking,lrap,0.5,0.1,1.0,0
81.46,70.63,87.14,0.8677631578947368,0.7628205128205128,49,banking,lrap,0.5,0.1,1.0,0
81.17,70.96,87.27,0.8717105263157895,0.7532051282051282,50,banking,lrap,0.5,0.1,1.0,0
83.25,73.44,88.18,0.8796052631578948,0.7865384615384615,51,banking,lrap,0.5,0.1,1.0,0
80.88,71.81,87.66,0.8894736842105263,0.7301282051282051,52,banking,lrap,0.5,0.1,1.0,0
81.85,71.88,87.77,0.8822368421052632,0.7564102564102564,53,banking,lrap,0.5,0.1,1.0,0
82.47,72.15,87.75,0.8822368421052632,0.7685897435897436,54,banking,lrap,0.5,0.1,1.0,0
82.66,72.85,88.06,0.8855263157894737,0.7692307692307693,55,banking,lrap,0.5,0.1,1.0,0
82.05,72.37,87.83,0.8822368421052632,0.7602564102564102,56,banking,lrap,0.5,0.1,1.0,0
83.05,73.49,88.32,0.8822368421052632,0.7801282051282051,57,banking,lrap,0.5,0.1,1.0,0
82.66,72.81,87.95,0.8822368421052632,0.7724358974358975,58,banking,lrap,0.5,0.1,1.0,0
82.99,72.58,87.89,0.8888157894736842,0.7724358974358975,59,banking,lrap,0.5,0.1,1.0,0
83.31,73.16,88.06,0.8796052631578948,0.7878205128205128,60,banking,lrap,0.5,0.1,1.0,0
83.44,73.25,88.25,0.8855263157894737,0.7846153846153846,61,banking,lrap,0.5,0.1,1.0,0
81.85,72.18,87.9,0.8828947368421053,0.7557692307692307,62,banking,lrap,0.5,0.1,1.0,0
83.73,73.49,88.35,0.8881578947368421,0.7878205128205128,63,banking,lrap,0.5,0.1,1.0,0
83.31,73.18,88.02,0.8789473684210526,0.7884615384615384,64,banking,lrap,0.5,0.1,1.0,0
83.93,73.45,88.41,0.8881578947368421,0.7916666666666666,65,banking,lrap,0.5,0.1,1.0,0
83.9,73.6,88.46,0.8953947368421052,0.783974358974359,66,banking,lrap,0.5,0.1,1.0,0
83.83,73.32,88.06,0.8835526315789474,0.7942307692307692,67,banking,lrap,0.5,0.1,1.0,0
84.12,74.22,88.44,0.881578947368421,0.801923076923077,68,banking,lrap,0.5,0.1,1.0,0
84.19,74.0,88.42,0.8868421052631579,0.7980769230769231,69,banking,lrap,0.5,0.1,1.0,0
83.6,74.29,88.53,0.8881578947368421,0.7852564102564102,70,banking,lrap,0.5,0.1,1.0,0
84.32,74.4,88.54,0.8875,0.8,71,banking,lrap,0.5,0.1,1.0,0
84.29,74.14,88.37,0.8921052631578947,0.7948717948717948,72,banking,lrap,0.5,0.1,1.0,0
83.54,74.21,88.39,0.8861842105263158,0.7858974358974359,73,banking,lrap,0.5,0.1,1.0,0
84.81,74.56,88.63,0.8835526315789474,0.8134615384615385,74,banking,lrap,0.5,0.1,1.0,0
84.29,73.99,88.43,0.8875,0.7993589743589744,75,banking,lrap,0.5,0.1,1.0,0
84.25,74.05,88.5,0.8855263157894737,0.8006410256410257,76,banking,lrap,0.5,0.1,1.0,0
84.42,74.43,88.43,0.8921052631578947,0.7974358974358975,77,banking,lrap,0.5,0.1,1.0,0
84.97,74.73,88.7,0.8888157894736842,0.8115384615384615,78,banking,lrap,0.5,0.1,1.0,0
83.54,74.24,88.63,0.8697368421052631,0.801923076923077,79,banking,lrap,0.5,0.1,1.0,0
83.44,74.21,88.56,0.8703947368421052,0.7993589743589744,80,banking,lrap,0.5,0.1,1.0,0
83.08,73.71,88.38,0.8697368421052631,0.7929487179487179,81,banking,lrap,0.5,0.1,1.0,0
84.16,74.41,88.6,0.8888157894736842,0.7955128205128205,82,banking,lrap,0.5,0.1,1.0,0
84.19,74.05,88.34,0.8828947368421053,0.801923076923077,83,banking,lrap,0.5,0.1,1.0,0
84.71,74.65,88.48,0.8875,0.8076923076923077,84,banking,lrap,0.5,0.1,1.0,0
85.19,74.9,88.61,0.8796052631578948,0.825,85,banking,lrap,0.5,0.1,1.0,0
84.61,74.58,88.5,0.8835526315789474,0.8096153846153846,86,banking,lrap,0.5,0.1,1.0,0
82.99,73.57,88.41,0.8526315789473684,0.8076923076923077,87,banking,lrap,0.5,0.1,1.0,0
84.48,74.3,88.37,0.8842105263157894,0.8064102564102564,88,banking,lrap,0.5,0.1,1.0,0
84.84,75.11,88.99,0.8776315789473684,0.8198717948717948,89,banking,lrap,0.5,0.1,1.0,0
85.13,74.97,88.71,0.8835526315789474,0.8198717948717948,90,banking,lrap,0.5,0.1,1.0,0
83.41,73.53,88.27,0.8743421052631579,0.7948717948717948,91,banking,lrap,0.5,0.1,1.0,0
83.02,73.3,88.07,0.8671052631578947,0.7942307692307692,92,banking,lrap,0.5,0.1,1.0,0
83.93,74.08,88.31,0.8842105263157894,0.7955128205128205,93,banking,lrap,0.5,0.1,1.0,0
84.45,74.66,88.68,0.8756578947368421,0.8141025641025641,94,banking,lrap,0.5,0.1,1.0,0
83.64,74.09,88.48,0.8723684210526316,0.8012820512820513,95,banking,lrap,0.5,0.1,1.0,0
85.78,75.6,88.95,0.8861842105263158,0.8301282051282052,96,banking,lrap,0.5,0.1,1.0,0
85.26,75.12,88.76,0.8848684210526315,0.8211538461538461,97,banking,lrap,0.5,0.1,1.0,0
84.74,75.02,88.79,0.8723684210526316,0.823076923076923,98,banking,lrap,0.5,0.1,1.0,0
84.12,74.53,88.77,0.8743421052631579,0.808974358974359,99,banking,lrap,0.5,0.1,1.0,0
84.61,74.57,88.46,0.8809210526315789,0.8121794871794872,100,banking,lrap,0.5,0.1,1.0,0
84.97,75.37,88.86,0.875,0.825,101,banking,lrap,0.5,0.1,1.0,0
85.26,75.17,88.82,0.8802631578947369,0.8256410256410256,102,banking,lrap,0.5,0.1,1.0,0
