ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
81.8,69.0,79.12,0.89,0.746,-1,stackoverflow,ligd,0.5,0.1,1.0,0
84.0,70.03,79.23,0.906,0.774,0,stackoverflow,ligd,0.5,0.1,1.0,0
83.9,69.99,79.29,0.902,0.776,1,stackoverflow,ligd,0.5,0.1,1.0,0
81.1,67.43,77.93,0.878,0.744,2,stackoverflow,ligd,0.5,0.1,1.0,0
80.8,65.85,77.51,0.878,0.738,3,stackoverflow,ligd,0.5,0.1,1.0,0
80.9,64.99,77.1,0.858,0.76,4,stackoverflow,ligd,0.5,0.1,1.0,0
78.5,66.63,77.5,0.854,0.716,5,stackoverflow,ligd,0.5,0.1,1.0,0
82.0,67.64,78.12,0.856,0.784,6,stackoverflow,ligd,0.5,0.1,1.0,0
80.0,68.44,78.49,0.832,0.768,7,stackoverflow,ligd,0.5,0.1,1.0,0
80.9,68.41,78.65,0.848,0.77,8,stackoverflow,ligd,0.5,0.1,1.0,0
82.6,70.12,79.24,0.876,0.776,9,stackoverflow,ligd,0.5,0.1,1.0,0
80.4,69.43,79.01,0.88,0.728,10,stackoverflow,ligd,0.5,0.1,1.0,0
77.0,67.43,78.19,0.844,0.696,11,stackoverflow,ligd,0.5,0.1,1.0,0
83.0,70.47,79.41,0.884,0.776,12,stackoverflow,ligd,0.5,0.1,1.0,0
83.0,70.77,79.74,0.884,0.776,13,stackoverflow,ligd,0.5,0.1,1.0,0
78.5,68.2,78.67,0.88,0.69,14,stackoverflow,ligd,0.5,0.1,1.0,0
82.9,70.59,79.8,0.878,0.78,15,stackoverflow,ligd,0.5,0.1,1.0,0
83.6,71.94,80.34,0.886,0.786,16,stackoverflow,ligd,0.5,0.1,1.0,0
79.1,69.01,79.03,0.878,0.704,17,stackoverflow,ligd,0.5,0.1,1.0,0
81.2,69.14,79.01,0.89,0.734,18,stackoverflow,ligd,0.5,0.1,1.0,0
82.9,70.77,80.01,0.892,0.766,19,stackoverflow,ligd,0.5,0.1,1.0,0
85.7,73.11,81.21,0.892,0.822,20,stackoverflow,ligd,0.5,0.1,1.0,0
84.1,72.53,80.47,0.89,0.792,21,stackoverflow,ligd,0.5,0.1,1.0,0
83.0,70.97,80.0,0.876,0.784,22,stackoverflow,ligd,0.5,0.1,1.0,0
83.6,72.14,80.69,0.892,0.78,23,stackoverflow,ligd,0.5,0.1,1.0,0
82.8,70.52,79.53,0.88,0.776,24,stackoverflow,ligd,0.5,0.1,1.0,0
86.9,74.52,81.71,0.896,0.842,25,stackoverflow,ligd,0.5,0.1,1.0,0
87.2,75.0,82.06,0.89,0.854,26,stackoverflow,ligd,0.5,0.1,1.0,0
86.6,73.88,81.46,0.886,0.846,27,stackoverflow,ligd,0.5,0.1,1.0,0
87.0,74.69,81.7,0.892,0.848,28,stackoverflow,ligd,0.5,0.1,1.0,0
87.8,76.16,82.71,0.898,0.858,29,stackoverflow,ligd,0.5,0.1,1.0,0
87.9,76.34,82.63,0.906,0.852,30,stackoverflow,ligd,0.5,0.1,1.0,0
87.6,75.76,82.24,0.898,0.854,31,stackoverflow,ligd,0.5,0.1,1.0,0
87.5,75.52,82.72,0.894,0.856,32,stackoverflow,ligd,0.5,0.1,1.0,0
88.1,76.61,82.95,0.904,0.858,33,stackoverflow,ligd,0.5,0.1,1.0,0
88.5,77.38,83.36,0.906,0.864,34,stackoverflow,ligd,0.5,0.1,1.0,0
88.1,76.56,82.83,0.898,0.864,35,stackoverflow,ligd,0.5,0.1,1.0,0
87.8,76.17,82.58,0.9,0.856,36,stackoverflow,ligd,0.5,0.1,1.0,0
87.9,76.36,82.55,0.904,0.854,37,stackoverflow,ligd,0.5,0.1,1.0,0
88.0,76.33,82.94,0.896,0.864,38,stackoverflow,ligd,0.5,0.1,1.0,0
