epoch,timestamp,labeled_num,convergence_iterations,llm_total,llm_tot_correct,llm_tot_acc,llm_central_acc,llm_negatives_acc,prop_total,prop_correct,prop_acc,hard_count,hard_prob_total,hard_prob_correct,hard_prob_acc,central_count,central_prob_total,central_prob_correct,central_prob_acc
0,2025-06-16 12:37:22,900,53,100,73,0.73,0.7066666666666667,0.8,3199,2935,0.9174742106908409,25,74,32,0.43243243243243246,75,3125,2903,0.92896
4,2025-06-16 12:41:52,4199,59,100,75,0.75,0.7733333333333333,0.68,2496,2307,0.9242788461538461,25,48,29,0.6041666666666666,75,2448,2278,0.9305555555555556
9,2025-06-16 12:48:50,6795,60,100,66,0.66,0.6133333333333333,0.8,1456,1180,0.8104395604395604,25,64,38,0.59375,75,1392,1142,0.8204022988505747
14,2025-06-16 12:56:50,8350,60,100,67,0.67,0.68,0.64,1489,1373,0.9220953660174613,25,55,20,0.36363636363636365,75,1434,1353,0.9435146443514645
19,2025-06-16 13:05:19,9939,60,100,57,0.57,0.6533333333333333,0.32,1128,971,0.8608156028368794,25,74,14,0.1891891891891892,75,1054,957,0.9079696394686907
24,2025-06-16 13:15:38,11167,60,100,82,0.82,0.8266666666666667,0.8,1025,907,0.8848780487804878,25,45,20,0.4444444444444444,75,980,887,0.9051020408163265
29,2025-06-16 13:26:31,12292,59,100,79,0.79,0.8533333333333334,0.6,875,814,0.9302857142857143,25,32,8,0.25,75,843,806,0.9561091340450771
34,2025-06-16 13:37:44,13267,58,100,72,0.72,0.7066666666666667,0.76,638,523,0.8197492163009404,25,61,18,0.29508196721311475,75,577,505,0.8752166377816292
39,2025-06-16 13:49:07,14005,58,100,73,0.73,0.7466666666666667,0.68,476,402,0.8445378151260504,25,45,22,0.4888888888888889,75,431,380,0.8816705336426914
44,2025-06-16 14:01:32,14580,61,100,74,0.74,0.7866666666666666,0.6,536,424,0.7910447761194029,25,57,20,0.3508771929824561,75,479,404,0.8434237995824635
49,2025-06-16 14:14:16,15216,57,100,71,0.71,0.7333333333333333,0.64,405,302,0.745679012345679,25,50,13,0.26,75,355,289,0.8140845070422535
54,2025-06-16 14:29:02,15721,57,100,73,0.73,0.76,0.64,348,266,0.764367816091954,25,44,17,0.38636363636363635,75,304,249,0.819078947368421
59,2025-06-16 14:42:44,16169,57,100,74,0.74,0.76,0.68,236,183,0.7754237288135594,25,34,21,0.6176470588235294,75,202,162,0.801980198019802
64,2025-06-16 14:56:20,16504,57,100,77,0.77,0.8,0.68,168,151,0.8988095238095238,25,17,14,0.8235294117647058,75,151,137,0.9072847682119205
69,2025-06-16 15:10:11,16772,57,100,72,0.72,0.7066666666666667,0.76,145,96,0.6620689655172414,25,21,10,0.47619047619047616,75,124,86,0.6935483870967742
74,2025-06-16 15:23:42,17017,57,100,81,0.81,0.8533333333333334,0.68,84,67,0.7976190476190477,25,18,8,0.4444444444444444,75,66,59,0.8939393939393939
79,2025-06-16 15:37:25,17199,57,100,77,0.77,0.84,0.56,67,63,0.9402985074626866,25,2,1,0.5,75,65,62,0.9538461538461539
84,2025-06-16 15:51:25,17366,57,100,69,0.69,0.6933333333333334,0.68,59,45,0.7627118644067796,25,7,2,0.2857142857142857,75,52,43,0.8269230769230769
89,2025-06-16 16:05:27,17524,57,100,81,0.81,0.8266666666666667,0.76,26,21,0.8076923076923077,25,5,4,0.8,75,21,17,0.8095238095238095
94,2025-06-16 16:18:51,17643,57,100,77,0.77,0.7333333333333333,0.88,10,10,1.0,25,5,5,1.0,75,5,5,1.0
99,2025-06-16 16:33:57,17747,57,100,78,0.78,0.8,0.72,7,6,0.8571428571428571,25,2,2,1.0,75,5,4,0.8
104,2025-06-16 16:48:16,17845,51,100,68,0.68,0.7066666666666667,0.6,9,3,0.3333333333333333,25,3,1,0.3333333333333333,75,6,2,0.3333333333333333
109,2025-06-16 17:02:33,17949,51,76,55,0.7236842105263158,0.7254901960784313,0.72,0,0,0.0,25,0,0,0.0,51,0,0,0.0
114,2025-06-16 17:16:41,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
119,2025-06-16 17:31:01,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
124,2025-06-16 17:45:21,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
129,2025-06-16 17:59:36,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
134,2025-06-16 18:13:54,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
139,2025-06-16 18:28:08,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
144,2025-06-16 18:42:22,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
149,2025-06-16 18:54:22,18000,51,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
