ACC,ARI,NMI,known_acc,unknown_acc,epoch,dataset,method,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
78.47,67.76,85.85,0.8,0.7797413793103448,58,banking,lrap,0.25,0.1,1.0,0
79.9,68.86,86.25,0.8473684210526315,0.7831896551724138,59,banking,lrap,0.25,0.1,1.0,0
80.23,69.62,86.53,0.8407894736842105,0.7896551724137931,60,banking,lrap,0.25,0.1,1.0,0
78.86,67.78,85.96,0.7947368421052632,0.7866379310344828,61,banking,lrap,0.25,0.1,1.0,0
80.13,69.12,86.33,0.85,0.7853448275862069,62,banking,lrap,0.25,0.1,1.0,0
79.71,69.15,86.45,0.8157894736842105,0.790948275862069,63,banking,lrap,0.25,0.1,1.0,0
79.03,69.29,86.52,0.8578947368421053,0.7681034482758621,64,banking,lrap,0.25,0.1,1.0,0
79.25,68.9,86.51,0.8157894736842105,0.7849137931034482,65,banking,lrap,0.25,0.1,1.0,0
81.49,71.49,87.17,0.8644736842105263,0.7987068965517241,66,banking,lrap,0.25,0.1,1.0,0
81.17,70.62,87.1,0.8526315789473684,0.7982758620689655,67,banking,lrap,0.25,0.1,1.0,0
80.52,70.11,86.93,0.8092105263157895,0.8038793103448276,68,banking,lrap,0.25,0.1,1.0,0
80.78,70.07,86.84,0.8144736842105263,0.805603448275862,69,banking,lrap,0.25,0.1,1.0,0
79.58,70.15,86.87,0.7802631578947369,0.8008620689655173,70,banking,lrap,0.25,0.1,1.0,0
82.11,71.22,87.49,0.8171052631578948,0.8224137931034483,71,banking,lrap,0.25,0.1,1.0,0
81.3,71.14,87.23,0.8407894736842105,0.8038793103448276,72,banking,lrap,0.25,0.1,1.0,0
81.3,70.74,87.12,0.7907894736842105,0.8202586206896552,73,banking,lrap,0.25,0.1,1.0,0
81.4,70.95,87.15,0.8526315789473684,0.8012931034482759,74,banking,lrap,0.25,0.1,1.0,0
82.44,72.3,87.42,0.868421052631579,0.8099137931034482,75,banking,lrap,0.25,0.1,1.0,0
82.24,71.99,87.5,0.8697368421052631,0.8068965517241379,76,banking,lrap,0.25,0.1,1.0,0
80.0,70.13,86.66,0.825,0.7918103448275862,77,banking,lrap,0.25,0.1,1.0,0
80.03,70.41,86.89,0.8315789473684211,0.7900862068965517,78,banking,lrap,0.25,0.1,1.0,0
81.43,70.45,86.73,0.8486842105263158,0.8030172413793103,79,banking,lrap,0.25,0.1,1.0,0
80.91,70.54,86.92,0.8171052631578948,0.8064655172413793,80,banking,lrap,0.25,0.1,1.0,0
82.92,72.19,87.6,0.8355263157894737,0.8271551724137931,81,banking,lrap,0.25,0.1,1.0,0
81.82,71.07,87.09,0.843421052631579,0.8099137931034482,82,banking,lrap,0.25,0.1,1.0,0
81.92,71.62,87.36,0.8223684210526315,0.8181034482758621,83,banking,lrap,0.25,0.1,1.0,0
82.01,71.38,87.11,0.8486842105263158,0.8107758620689656,84,banking,lrap,0.25,0.1,1.0,0
81.3,71.81,87.4,0.8394736842105263,0.8043103448275862,85,banking,lrap,0.25,0.1,1.0,0
82.11,71.46,87.1,0.8394736842105263,0.8150862068965518,86,banking,lrap,0.25,0.1,1.0,0
81.66,71.53,87.24,0.8631578947368421,0.8012931034482759,87,banking,lrap,0.25,0.1,1.0,0
81.49,71.46,87.37,0.8486842105263158,0.8038793103448276,88,banking,lrap,0.25,0.1,1.0,0
82.37,72.22,87.37,0.8671052631578947,0.8094827586206896,89,banking,lrap,0.25,0.1,1.0,0
81.04,71.11,87.04,0.8565789473684211,0.7952586206896551,90,banking,lrap,0.25,0.1,1.0,0
80.65,70.28,86.67,0.8394736842105263,0.7956896551724137,91,banking,lrap,0.25,0.1,1.0,0
81.4,70.87,86.95,0.8276315789473684,0.8094827586206896,92,banking,lrap,0.25,0.1,1.0,0
81.36,70.61,86.91,0.8276315789473684,0.809051724137931,93,banking,lrap,0.25,0.1,1.0,0
82.01,71.41,87.23,0.8381578947368421,0.8142241379310344,94,banking,lrap,0.25,0.1,1.0,0
81.14,71.28,87.16,0.8197368421052632,0.8086206896551724,95,banking,lrap,0.25,0.1,1.0,0
80.26,70.03,86.76,0.8131578947368421,0.7991379310344827,96,banking,lrap,0.25,0.1,1.0,0
82.34,71.01,87.0,0.8671052631578947,0.809051724137931,97,banking,lrap,0.25,0.1,1.0,0
82.31,71.87,87.28,0.8552631578947368,0.8125,98,banking,lrap,0.25,0.1,1.0,0
81.1,71.07,86.99,0.8355263157894737,0.8030172413793103,99,banking,lrap,0.25,0.1,1.0,0
82.27,71.45,87.01,0.8368421052631579,0.8181034482758621,100,banking,lrap,0.25,0.1,1.0,0
81.4,71.46,87.19,0.8460526315789474,0.803448275862069,101,banking,lrap,0.25,0.1,1.0,0
82.14,71.36,87.2,0.8513157894736842,0.8116379310344828,102,banking,lrap,0.25,0.1,1.0,0
82.18,71.5,87.04,0.8592105263157894,0.8094827586206896,103,banking,lrap,0.25,0.1,1.0,0
81.1,70.7,86.82,0.8355263157894737,0.8030172413793103,104,banking,lrap,0.25,0.1,1.0,0
81.75,71.26,87.08,0.8421052631578947,0.8094827586206896,105,banking,lrap,0.25,0.1,1.0,0
82.37,71.51,87.19,0.8473684210526315,0.815948275862069,106,banking,lrap,0.25,0.1,1.0,0
82.11,71.41,87.17,0.8302631578947368,0.8181034482758621,107,banking,lrap,0.25,0.1,1.0,0
81.75,71.25,87.04,0.8223684210526315,0.815948275862069,108,banking,lrap,0.25,0.1,1.0,0
82.18,71.73,87.25,0.8315789473684211,0.8185344827586207,109,banking,lrap,0.25,0.1,1.0,0
