epoch,timestamp,labeled_num,convergence_iterations,llm_total,llm_tot_correct,llm_tot_acc,llm_central_acc,llm_negatives_acc,prop_total,prop_correct,prop_acc,hard_count,hard_prob_total,hard_prob_correct,hard_prob_acc,central_count,central_prob_total,central_prob_correct,central_prob_acc
0,2025-06-17 15:00:26,229,51,78,46,0.5897435897435898,0.603448275862069,0.55,823,747,0.9076549210206561,20,28,21,0.75,58,795,726,0.9132075471698113
4,2025-06-17 15:03:14,1130,57,78,51,0.6538461538461539,0.6724137931034483,0.6,694,603,0.8688760806916427,20,32,24,0.75,58,662,579,0.8746223564954683
9,2025-06-17 15:06:15,1902,58,78,49,0.6282051282051282,0.6379310344827587,0.6,625,517,0.8272,20,54,35,0.6481481481481481,58,571,482,0.8441330998248686
14,2025-06-17 15:10:15,2605,59,78,62,0.7948717948717948,0.8620689655172413,0.6,710,628,0.8845070422535212,20,20,11,0.55,58,690,617,0.8942028985507247
19,2025-06-17 15:15:18,3393,60,78,53,0.6794871794871795,0.6724137931034483,0.7,589,512,0.8692699490662139,20,33,22,0.6666666666666666,58,556,490,0.8812949640287769
24,2025-06-17 15:20:20,4060,60,78,56,0.717948717948718,0.7586206896551724,0.6,620,509,0.8209677419354838,20,49,27,0.5510204081632653,58,571,482,0.8441330998248686
29,2025-06-17 15:25:33,4758,60,78,52,0.6666666666666666,0.7241379310344828,0.5,473,411,0.86892177589852,20,25,19,0.76,58,448,392,0.875
34,2025-06-17 15:31:51,5309,61,78,56,0.717948717948718,0.7758620689655172,0.55,495,421,0.8505050505050505,20,25,8,0.32,58,470,413,0.8787234042553191
39,2025-06-17 15:38:32,5882,62,78,62,0.7948717948717948,0.8448275862068966,0.65,409,353,0.863080684596577,20,25,15,0.6,58,384,338,0.8802083333333334
44,2025-06-17 15:44:10,6369,60,78,59,0.7564102564102564,0.8103448275862069,0.6,363,314,0.8650137741046832,20,27,18,0.6666666666666666,58,336,296,0.8809523809523809
49,2025-06-17 15:50:07,6810,60,78,60,0.7692307692307693,0.7586206896551724,0.8,289,268,0.9273356401384083,20,13,12,0.9230769230769231,58,276,256,0.927536231884058
54,2025-06-17 15:59:02,7177,60,78,60,0.7692307692307693,0.7931034482758621,0.7,256,216,0.84375,20,27,20,0.7407407407407407,58,229,196,0.8558951965065502
59,2025-06-17 16:05:56,7511,71,78,60,0.7692307692307693,0.8448275862068966,0.55,249,206,0.8273092369477911,20,23,13,0.5652173913043478,58,226,193,0.8539823008849557
64,2025-06-17 16:12:27,7838,59,78,60,0.7692307692307693,0.8103448275862069,0.65,140,121,0.8642857142857143,20,12,10,0.8333333333333334,58,128,111,0.8671875
69,2025-06-17 16:19:29,8056,63,78,56,0.717948717948718,0.7413793103448276,0.65,121,106,0.8760330578512396,20,17,10,0.5882352941176471,58,104,96,0.9230769230769231
74,2025-06-17 16:27:04,8254,59,78,60,0.7692307692307693,0.8448275862068966,0.55,108,90,0.8333333333333334,20,15,6,0.4,58,93,84,0.9032258064516129
79,2025-06-17 16:33:24,8437,64,78,56,0.717948717948718,0.7586206896551724,0.6,79,68,0.8607594936708861,20,11,6,0.5454545454545454,58,68,62,0.9117647058823529
84,2025-06-17 16:39:57,8593,59,78,53,0.6794871794871795,0.6724137931034483,0.7,55,48,0.8727272727272727,20,3,3,1.0,58,52,45,0.8653846153846154
89,2025-06-17 16:47:23,8725,61,78,59,0.7564102564102564,0.8103448275862069,0.6,27,24,0.8888888888888888,20,2,2,1.0,58,25,22,0.88
94,2025-06-17 16:53:54,8828,61,78,57,0.7307692307692307,0.7241379310344828,0.75,4,3,0.75,20,3,3,1.0,58,1,0,0.0
99,2025-06-17 17:00:19,8899,61,78,59,0.7564102564102564,0.7758620689655172,0.7,4,4,1.0,20,4,4,1.0,58,0,0,0.0
104,2025-06-17 17:06:58,8971,61,52,32,0.6153846153846154,0.59375,0.65,0,0,0.0,20,0,0,0.0,32,0,0,0.0
109,2025-06-17 17:13:25,9003,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
114,2025-06-17 17:19:45,9003,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
119,2025-06-17 17:26:45,9003,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
124,2025-06-17 17:33:33,9003,61,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
129,2025-06-17 17:40:08,9003,57,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
134,2025-06-17 17:46:37,9003,57,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
139,2025-06-17 17:53:12,9003,57,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
144,2025-06-17 17:59:44,9003,57,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
149,2025-06-17 18:05:56,9003,57,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
